"","name","start","nation","product","dist","class","genre","director","people","screen","play"
"234","브릭 맨션: 통제불능 범죄구역",41878,"프랑스","","씨네그루(주)다우기술","15세이상관람가","액션,범죄,드라마","카밀 들라마레",74649,499,5705
"235","블루 재스민",41542,"미국","","(주)인벤트스톤","15세이상관람가","드라마","우디 앨런",130289,305,6880
"236","비긴 어게인",41864,"미국","","판씨네마(주)","15세이상관람가","멜로/로맨스","존 카니",2436868,501,43988
"237","비밀",42292,"한국","영화사 도로시(주),(주)에스에이치기획","CGV아트하우스","15세이상관람가","미스터리,드라마","박은경,이동하",50196,408,5180
"238","비밀은 없다",42544,"한국","(주)영화사거미,필름트레인","씨제이이앤엠(주)","청소년관람불가","스릴러","이경미",250311,341,14721
"239","비행기",41627,"미국","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","전체관람가","애니메이션","클레이 홀",233557,290,6230
"240","비행기 2: 소방구조대",41864,"미국","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","전체관람가","애니메이션,어드벤처,코미디","로버츠 개너웨이",311456,825,6562
"241","빅 아이즈",42032,"미국","","판씨네마(주)","12세이상관람가","드라마","팀 버튼",85080,627,5491
"242","빅 히어로",42025,"미국","","월트디즈니컴퍼니코리아(주)","전체관람가","애니메이션,액션,코미디","돈 홀,크리스 윌리암스",2780940,56,60884
"243","빅매치",41970,"한국","(주)보경사","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","액션","최호",1177438,489,38529
"244","빅뱅 메이드",42551,"한국","(주)와이지엔터테인먼트","씨제이 씨지브이(CJ CGV)(주)","12세이상관람가","다큐멘터리","변진호",55241,343,1792
"245","빅쇼트",42390,"미국","","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","드라마","아담 맥케이",444718,544,17227
"246","빌리와 용감한 녀석들 3",42124,"미국","","롯데쇼핑㈜롯데엔터테인먼트","전체관람가","애니메이션,어드벤처","척 파워스",96732,695,3292
"247","뽀로로 극장판 컴퓨터 왕국 대모험",42348,"한국","(주)오콘","(주)넥스트엔터테인먼트월드(NEW)","전체관람가","애니메이션","박영균",441721,1210,12628
"248","사냥",42550,"한국","(주)빅스톤픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션","이우철",645855,399,28854
"249","사도",42263,"한국","(주)타이거픽쳐스","(주)쇼박스","12세이상관람가","사극","이준익",6227219,335,123253
"250","사랑에 대한 모든 것",41983,"미국","","유니버설픽쳐스인터내셔널 코리아(유)","12세이상관람가","멜로/로맨스","제임스 마쉬",275455,192,12462
"251","사우스포",42341,"미국","","씨네그루(주)다우기술","15세이상관람가","드라마,액션","안톤 후쿠아",92789,646,6475
"252","산타의 매직 크리스탈",41606,"벨기에","","(주)팝엔터테인먼트","전체관람가","애니메이션,어드벤처,코미디","앙티 하이칼라",60485,207,1916
"253","살인의뢰",42075,"한국","(주)미인픽쳐스","씨네그루(주)다우기술","청소년관람불가","범죄,스릴러","손용호",855149,466,35231
